# Sprite offsets discovered using exhal validation
# Format: offset size tiles confidence

0x0C9300  # 45811 bytes, 1431 tiles, score=0.825
0x0CA700  # 40161 bytes, 1255 tiles, score=0.825
0x0CB000  # 63341 bytes, 1979 tiles, score=0.825
0x0CB600  # 41375 bytes, 1292 tiles, score=0.825
0x0CC000  # 61968 bytes, 1936 tiles, score=0.825
0x0CC200  # 55269 bytes, 1727 tiles, score=0.825
0x0CC400  # 42832 bytes, 1338 tiles, score=0.825
0x0CD700  # 42022 bytes, 1313 tiles, score=0.825
0x0CD800  # 34519 bytes, 1078 tiles, score=0.825
0x0CE700  # 33362 bytes, 1042 tiles, score=0.825
0x0DE600  # 36785 bytes, 1149 tiles, score=0.825
0x0DE700  # 34111 bytes, 1065 tiles, score=0.825
0x0E0000  # 57290 bytes, 1790 tiles, score=0.825
0x0E0500  # 46987 bytes, 1468 tiles, score=0.825
0x0E0E00  # 40851 bytes, 1276 tiles, score=0.825
0x0E1400  # 51611 bytes, 1612 tiles, score=0.825
0x0E1900  # 46977 bytes, 1468 tiles, score=0.825
0x0E1A00  # 40399 bytes, 1262 tiles, score=0.825
0x0E3E00  # 34642 bytes, 1082 tiles, score=0.825
0x0E4300  # 48734 bytes, 1522 tiles, score=0.825
0x0E6400  # 37604 bytes, 1175 tiles, score=0.825
0x0E6D00  # 54904 bytes, 1715 tiles, score=0.825
0x0E8300  # 52964 bytes, 1655 tiles, score=0.825
0x0E8500  # 40065 bytes, 1252 tiles, score=0.825
0x0E9100  # 52156 bytes, 1629 tiles, score=0.825
0x0E9800  # 40189 bytes, 1255 tiles, score=0.825
0x072200  # 59463 bytes, 1858 tiles, score=0.825
0x072300  # 58564 bytes, 1830 tiles, score=0.825
0x079000  # 45694 bytes, 1427 tiles, score=0.825
0x079C00  # 33003 bytes, 1031 tiles, score=0.825
0x07B600  # 39044 bytes, 1220 tiles, score=0.825
0x07B700  # 33865 bytes, 1058 tiles, score=0.825
0x07E400  # 61092 bytes, 1909 tiles, score=0.825
0x07E800  # 56058 bytes, 1751 tiles, score=0.825
0x07E900  # 57689 bytes, 1802 tiles, score=0.825
0x07EB00  # 54607 bytes, 1706 tiles, score=0.825
0x082900  # 46088 bytes, 1440 tiles, score=0.825
0x087100  # 35997 bytes, 1124 tiles, score=0.825
0x087300  # 34132 bytes, 1066 tiles, score=0.825
0x088100  # 50280 bytes, 1571 tiles, score=0.825
0x089400  # 58645 bytes, 1832 tiles, score=0.825
0x089E00  # 36532 bytes, 1141 tiles, score=0.825
0x08B300  # 61943 bytes, 1935 tiles, score=0.825
0x08B500  # 58085 bytes, 1815 tiles, score=0.825
0x08B600  # 49819 bytes, 1556 tiles, score=0.825
0x08B700  # 39897 bytes, 1246 tiles, score=0.825
0x08B800  # 33981 bytes, 1061 tiles, score=0.825
0x08BA00  # 34295 bytes, 1071 tiles, score=0.825
0x08BB00  # 33188 bytes, 1037 tiles, score=0.825
0x08F000  # 33624 bytes, 1050 tiles, score=0.825
0x0D0200  # 64081 bytes, 2002 tiles, score=0.825
0x0D0300  # 63042 bytes, 1970 tiles, score=0.825
